_element_key,_element_name,_element_type,_list_child_element_keys
hh_id,hh_id,string,[]
orig_hh_id,orig_hh_id,string,[]
qa1,qa1,string,[]
qb1a,qb1a,integer,[]
qb1b,qb1b,integer,[]
qb1c,qb1c,integer,[]
qb2,qb2,string,[]
qb2a,qb2a,integer,[]
qb3,qb3,integer,[]
qb4,qb4,string,[]
qb4a,qb4a,array,"[""qb4a_items""]"
qb4a_items,items,string,[]
qb4a_other,qb4a_other,string,[]
qc1,qc1,string,[]
qc2,qc2,string,[]
qc3,qc3,string,[]
qc4,qc4,string,[]
qc5,qc5,integer,[]
qc6_length,qc6_length,string,[]
qc6_width,qc6_width,string,[]
rand_selected,rand_selected,string,[]
